Cellline,RHEB,TIPIN,OR4A47,NUP133,CPNE8-AS1,PDIA4,RNU6-899P,NRXN1-DT,SMIM41,RPS12P2,IGHJ2,SLC2A3P2,CES4A,TCTE1,TAX1BP1,RPL32P26,PNCK,CNOT10-AS1,OR3A2,COL6A2,ZNF296,RNU7-179P,PTS,PIGFP2,SPSB3,CFAP90,DPF3,C19orf33,OR13C2,PDE4B-AS1,SBNO1-AS1,RNU6ATAC30P,SELENOS,LINC01535,SYT2,CHRM4,RNU6-1017P,LSP1P1,LINC02957,TMC5,DSG4,MTND2P4,PPP1R15B,LINC00355,IFI35,LINGO3,MTND6P32,PRKAR1B-AS1,TMEM274P,ZNF574,SNRPEP5,DUSP1,LINC01091,RNU6-1174P,RN7SL237P,ZCCHC18,NDP,MIR1537,RNA5SP324,CFAP418,OXCT1-AS1,OR10AG1,CPDP1,SCRG1,SLC25A15,MTMR2,SYN1,RNU6-892P,MIR1266,INTS6P1,WIPI2,VPS26C,RN7SL321P,TM4SF5,RN7SL273P,ENO1,USP53,DDA1,NDUFA3,CACNA2D2,SRSF3P6,POMT2,MIR4694,H2AC4,RBM14,LINC00934,IQCH,RCC2P4,CPA1,MIR6852,UQCRB,EEF1A1P12,LILRB2,TERF1P4,GSG1,MARK2,RAB26,PARVA,KIF24,NAA60
HCC2998,1.256769341,0.999617051,0.975418552,0.98866141,0.994056792,1.256769341,0.975418552,0.993820292,1.000128506,0.984841977,0.990293375,0.98866141,0.996035462,1.03779598,1.298049851,1.000128506,0.827413821,0.983156487,0.995494557,0.983891942,0.997330474,0.98866141,1.192629846,0.984326574,0.996035462,0.970250695,0.990293375,0.997330474,0.984326574,0.98866141,1.000128506,0.990293375,0.992080855,0.997330474,0.98866141,0.975418552,1.000128506,1.276944955,0.984326574,0.996035462,0.966316631,1.298049851,0.98866141,1.276944955,0.995494557,0.997330474,0.827413821,1.298049851,0.998020859,0.997330474,0.993820292,0.970250695,0.982640218,0.983156487,0.976948651,0.827413821,0.827413821,0.98866141,0.984841977,0.967204933,0.970250695,0.975418552,0.995494557,0.982640218,1.276944955,1.192629846,0.827413821,0.967204933,0.999617051,0.970250695,1.298049851,0.983891942,0.983156487,0.995494557,1.03779598,0.998020859,0.982640218,0.997330474,0.997330474,0.983156487,0.990897895,0.990293375,0.975418552,1.149411412,0.975418552,1.000128506,0.999617051,0.983156487,1.256769341,0.984326574,0.967204933,0.990897895,0.997330474,0.827413821,0.994056792,0.975418552,0.996035462,0.975418552,0.984326574,0.996035462
HCT-116,0.991730338,0.99360872,0.992371774,0.981573202,0.997140839,0.991730338,0.992371774,0.987485255,0.997140839,0.987608676,0.99337528,0.995174099,0.984689612,0.988455066,0.991730338,0.997140839,0.5858664,0.994411367,0.985174962,0.968922116,0.966175552,0.995174099,0.992371774,0.988345954,0.992694093,0.976676631,0.99337528,0.966175552,0.988345954,0.995174099,0.993478805,0.99337528,0.990892927,0.966175552,0.981573202,0.992371774,0.993478805,0.981702031,0.988345954,0.984522919,0.986171417,0.991730338,0.981573202,0.981702031,0.993787434,0.973132435,0.579814315,0.981221822,0.995174099,0.966175552,0.987485255,0.991525537,0.992888116,0.994839762,0.995043045,0.579814315,0.579814315,0.981573202,0.987608676,1.305263937,0.990985341,0.992371774,0.985174962,0.992888116,0.981702031,0.992371774,0.579814315,0.986211032,0.99360872,0.990985341,0.981221822,0.968922116,0.994411367,0.985174962,0.988455066,0.995174099,0.992888116,0.973132435,0.966175552,0.994411367,0.987166097,0.99337528,0.992371774,0.988455066,0.992371774,0.993478805,0.990892927,0.994839762,0.991730338,0.988231396,1.305263937,0.987166097,0.966175552,0.579814315,0.997140839,0.992371774,0.992694093,0.992371774,0.988231396,0.992694093
HCT-15,1.007136564,1.005201844,0.99509686,0.999143255,1.000974829,1.007136564,0.99509686,1.004260773,1.000974829,0.999609553,0.986492333,1.003904269,0.990649499,0.99702657,0.998881934,1.000974829,0.567443639,0.996265845,0.998325473,0.992849309,0.969755815,1.000149508,0.99509686,0.996024493,0.994125509,0.98172375,1.00860501,0.969755815,0.996024493,1.003904269,1.000974829,1.00860501,1.005201844,0.969755815,0.999143255,0.99509686,1.000974829,0.991195531,0.996024493,0.994125509,0.9981407,0.998881934,0.999143255,0.991195531,0.998325473,0.969755815,0.573573935,0.998881934,0.995307157,0.969755815,1.001320604,0.988775011,0.990655957,0.996265845,1.00198987,0.573573935,0.589496006,0.999143255,0.999609553,0.994359569,0.98172375,0.99509686,0.998325473,0.989713932,0.991195531,0.99509686,0.589496006,0.994359569,1.005201844,0.98172375,0.998881934,0.992849309,0.996265845,0.998325473,0.99702657,0.995307157,0.990655957,0.969755815,0.969755815,0.996265845,0.997758744,1.00860501,0.99509686,0.99702657,0.99509686,1.000974829,1.005201844,0.996265845,1.007136564,1.006340371,0.994359569,0.997758744,0.969755815,0.573573935,1.000974829,0.99509686,0.994125509,0.99509686,1.006340371,0.994125509
HL-60,1.011183513,0.988184285,0.984489286,1.023411426,0.999716528,1.011183513,0.984489286,1.003821548,0.999716528,1.007605944,1.0105508,1.011689477,1.060641752,1.004336498,1.011183513,0.999716528,0.548741463,1.011177467,0.6415551,1.01179432,1.028104014,1.011689477,0.984489286,1.03268455,1.012252592,0.974847162,0.589509088,1.028104014,1.00947944,1.011689477,0.999716528,1.006576421,0.988184285,1.028104014,1.023411426,0.984489286,0.999716528,1.020653756,1.018390238,1.012252592,1.330282047,1.011183513,1.023411426,1.020653756,1.011974788,1.028104014,0.548741463,1.011183513,1.011689477,1.028104014,1.003821548,0.984865229,1.006573407,1.011177467,0.984301847,0.548741463,0.548741463,1.023411426,1.007605944,0.937940998,0.974847162,0.984489286,1.011974788,1.006573407,1.020653756,0.984489286,0.548741463,0.937940998,0.988184285,0.974847162,1.011183513,1.01179432,1.011177467,0.6415551,1.004336498,1.011689477,1.006573407,1.028104014,1.028104014,1.011177467,1.000836242,0.589509088,0.984489286,1.104426597,0.984489286,0.999716528,0.988184285,1.011177467,1.011183513,1.018390238,0.937940998,1.000836242,1.028104014,0.548741463,0.999716528,0.984489286,1.012252592,0.984489286,1.018390238,1.012252592
HOP-62,0.950559312,0.876864411,0.939970805,1.050731763,0.852120736,0.950559312,0.939970805,1.050838325,0.852120736,1.087387136,1.604206777,1.045445471,1.243755605,1.181297788,1.007460189,1.006277599,0.713237076,1.231211679,0.964673393,1.053386634,2.177277289,1.045445471,0.744839391,0.888439133,0.803927295,1.150924534,0.98409416,1.488253781,0.888439133,1.045445471,1.006277599,0.98409416,0.99710042,1.488253781,1.050731763,0.939970805,1.006277599,0.865368089,0.888439133,0.803927295,1.256831565,0.950559312,1.050731763,0.865368089,1.1121585,0.787823529,0.713237076,1.007460189,1.046074515,1.292899587,1.050838325,1.083164431,0.925010314,1.064672057,0.86541771,0.713237076,0.474810258,1.050731763,1.087387136,1.168857487,1.150924534,0.939970805,1.121191116,0.925010314,0.865368089,0.744839391,0.474810258,0.686628813,0.876864411,1.150924534,1.007460189,1.053386634,1.064672057,0.964673393,1.181297788,1.046074515,0.925010314,0.787823529,0.79691198,1.064672057,1.010053285,0.98409416,0.939970805,1.28180322,1.056177381,1.006277599,0.876864411,1.064672057,0.950559312,0.888439133,1.168857487,1.010053285,0.79691198,0.713237076,1.174554207,0.745984128,0.803927295,0.939970805,0.888439133,0.803927295
HOP-92,1.883811692,0.833123288,1.075914351,1.355422408,0.870091844,1.883811692,1.075914351,0.970190477,0.984924103,1.404034942,0.617251612,1.012479008,0.994351103,0.904428105,1.480662553,0.977806378,0.699881393,1.009661637,0.827456158,0.840102344,1.015014829,1.021573934,0.859551586,0.949672162,0.803122728,1.286408001,1.075064634,1.015014829,0.912307607,1.012479008,0.954506219,1.051178237,0.815300687,1.015014829,1.335541703,0.873678199,0.954506219,0.948613077,0.912307607,0.784974084,0.958199672,1.511112344,1.335541703,0.948613077,1.045712525,0.835169424,0.708792676,1.480662553,1.021573934,1.015014829,0.940891295,1.052466647,0.765348305,1.254015412,1.227183228,0.708792676,0.708792676,1.355422408,0.998266043,1.287089597,1.286408001,1.075914351,1.045712525,0.988737804,0.948613077,0.859551586,0.708792676,0.65841982,0.833123288,1.286408001,1.480662553,0.840102344,1.009661637,0.827456158,0.904428105,1.021573934,0.765348305,1.037765717,1.143530117,1.009661637,0.963142678,0.599643747,0.84858332,0.86161913,1.211473039,0.957192075,0.833123288,1.009661637,1.726978578,1.095969364,1.287089597,0.963142678,1.143530117,0.708792676,0.804493073,1.075914351,0.803122728,0.84858332,1.095969364,0.803122728
Hs-578-T,1.174408841,0.859913436,0.932011583,1.016843693,0.929722734,1.163678032,1.201398958,1.074065205,0.929722734,0.908432973,0.854706569,1.163773812,0.907271023,1.278836445,1.172641992,0.929722734,0.487306479,1.191465846,1.102364187,0.995422784,1.107866434,1.123761581,1.034074121,0.880629555,0.807272425,1.392866138,0.861955528,1.107866434,0.93705313,1.163773812,0.905883034,0.910168544,0.905587439,1.107866434,1.002259266,0.932011583,0.905883034,0.832192778,0.868105321,0.897291199,1.14946743,1.113328825,1.002259266,0.833660808,0.855995151,1.11109264,0.568294528,1.123696649,1.106526922,1.107866434,1.064313018,1.056835733,0.918014635,1.345660889,1.159573732,0.568294528,0.526755023,1.016843693,0.908432973,1.660964189,1.358860805,1.201398958,0.854483526,0.91557323,0.832192778,1.238251777,0.544844286,1.459729504,0.906818301,1.358860805,1.182013506,0.995422784,1.136394749,1.102364187,1.278836445,1.106526922,0.918014635,1.118461631,1.046794107,1.136394749,0.959394522,0.861955528,0.933554319,1.278836445,1.124326587,0.905883034,0.859913436,1.345660889,1.153580859,0.923448342,1.660964189,0.959394522,1.089121275,0.568294528,0.936495293,1.124326587,0.807272425,0.933554319,0.923448342,0.807272425
HT-29,1.30588915,1.193236315,1.240119852,1.057631006,1.005527047,1.363103828,1.238477627,1.05613793,1.005527047,1.021212694,0.743338786,1.0103836,1.005020204,0.975981819,1.239100001,1.005527047,1.182144379,0.749245711,0.725001441,0.728158449,1.275163764,0.994359071,1.214799758,1.008223303,0.98392556,1.288855114,0.743338786,1.275163764,1.008223303,1.0103836,1.007469738,0.743338786,1.228775258,1.275163764,1.000944309,1.215118518,1.007469738,1.499241745,0.986567125,1.003899757,0.763688097,1.246863336,1.000944309,1.179845965,0.971085195,0.736315614,1.038118133,1.240452038,0.990502966,1.275163764,1.05613793,1.016153432,1.015226513,1.069671597,1.374598697,1.038118133,1.011800873,1.057631006,1.021212694,1.024677003,1.267802453,1.238477627,0.960140804,0.750523776,1.249720965,1.207885019,1.011800873,0.428843226,1.198669595,1.267802453,1.240452038,0.728158449,0.749245711,0.725001441,0.975981819,0.990502966,1.015226513,0.736315614,1.233987996,0.749245711,1.031462766,0.743338786,1.257615049,0.975981819,1.218986586,1.007469738,1.193236315,1.22758541,1.191425372,0.971048944,1.024677003,1.01352077,1.2449351,1.038118133,1.010311086,1.218986586,0.98392556,1.229490894,0.971048944,0.98392556
IGROV-1,1.092131004,1.01218301,1.000212016,1.127093168,1.056117167,1.092131004,1.036519323,1.040372551,1.056117167,1.062902183,1.034315649,1.054069206,1.054781121,0.91900833,1.115535684,1.056117167,0.923437942,0.93147253,0.997407334,0.83817155,1.005765475,1.013583349,1.054895743,1.000145007,1.035819925,1.040982038,1.034315649,1.005765475,1.057751034,1.054069206,1.042954514,1.034315649,1.01218301,1.005765475,1.127093168,1.000212016,1.042954514,0.997708323,1.009286195,1.035819925,0.936080889,1.034323325,1.127093168,1.022671383,1.002839789,1.018558856,0.915510739,1.115535684,1.013583349,1.005765475,1.053555046,0.99936364,1.028143257,0.953718526,1.163184818,0.915510739,0.86550162,1.127093168,1.062902183,1.065630069,1.006449854,1.036519323,0.982567609,1.023412442,1.022671383,1.054895743,0.86550162,1.038311048,1.01218301,1.006449854,1.115535684,0.83817155,0.892886545,0.997407334,0.91900833,1.013583349,1.028143257,1.018558856,1.005765475,0.892886545,1.064285363,1.034315649,1.021340031,0.91900833,0.99233696,1.042954514,1.01218301,0.953718526,1.110103137,1.064739908,1.065630069,1.064285363,0.973842516,0.915510739,1.060847396,0.99233696,1.035819925,1.021340031,1.064739908,1.035819925
K-562,1.410641156,1.001443221,1.071999536,1.219817291,1.085506257,1.410641156,1.082216935,1.111357967,1.000775208,1.295546919,0.75045888,1.038084273,1.04916986,1.197094105,1.002889388,1.106129027,0.824503367,1.221169097,0.706686575,1.208215098,1.004846614,1.186578303,1.036398379,1.011023294,0.964784572,1.285359784,0.740732746,1.00245208,1.039067036,1.105783155,1.02128879,0.766937025,1.032523531,0.901320241,1.198716998,1.043087819,1.02128879,0.727997158,0.72414783,1.046777597,1.180350452,1.18658447,1.198716998,0.78877872,0.971092543,0.958160848,0.824503367,1.000369547,1.186578303,0.94005459,1.018457582,0.990728485,1.081982655,0.787616945,1.016984313,0.824503367,0.788679329,1.187885095,0.786040088,1.043951235,1.394518725,1.082216935,1.062887586,1.062177178,0.78877872,1.092126226,0.788679329,0.995057495,1.055495439,1.286324219,1.000369547,1.208215098,0.745325851,0.706686575,1.197094105,1.186578303,1.081982655,0.976185358,0.884139263,0.745325851,0.989131252,0.740732746,1.096316381,1.177190633,0.979253353,1.02128879,1.001443221,0.787616945,1.427795758,0.75958678,1.043951235,1.071556006,0.843480927,0.824503367,0.779478369,0.979253353,0.964784572,1.05461828,0.75958678,0.964784572
