drug_a,drug_b,cell_line,synergy_value
104842,426756,A375,0.06819269
3385,426756,A375,0.06832424
3385,5746,A375,0.06836015
126941,5311497,A375,0.06835536
60750,426756,A375,0.06819567
31703,60750,A375,0.06847201
5743,5311497,A375,0.06874648
126941,426756,A375,0.068054855
60750,5311497,A375,0.06849618
3385,6710780,A375,0.06848214
426756,6710780,A375,0.06853877
36462,426756,A375,0.06823741
5746,426756,A375,0.0683365
5743,126941,A375,0.06853336
60700,9887053,A375,0.06790757
36462,5311497,A375,0.06853792
31703,9887053,A375,0.06825683
2907,60700,A375,0.068003014
2907,36462,A375,0.068055466
104842,9887053,A375,0.0680132
60700,6710780,A375,0.06824489
4091,104842,A375,0.06798857
5743,426756,A375,0.068445966
5743,36462,A375,0.06853084
2907,5311497,A375,0.06827103
2907,6710780,A375,0.06812842
426756,5311497,A375,0.06868143
60700,5311497,A375,0.06838758
36462,9887053,A375,0.06805797
5743,6710780,A375,0.06860384
5743,36314,A375,0.068654805
5746,31703,A375,0.06842044
5743,31703,A375,0.06852993
2907,4091,A375,0.06761986
60700,126941,A375,0.06817445
60700,104842,A375,0.06808029
2907,5746,A375,0.06800651
36462,60750,A375,0.06827315
36314,36462,A375,0.06849857
31703,36462,A375,0.0685212
3385,60700,A375,0.0683567
36462,6710780,A375,0.06839532
2907,36314,A375,0.06817941
60750,9887053,A375,0.06801619
5311497,6710780,A375,0.06840548
3385,36314,A375,0.06853311
5746,126941,A375,0.06842394
36314,426756,A375,0.06841369
60700,60750,A375,0.06812276
4091,60700,A375,0.06802782
3385,5311497,A375,0.06862478
36462,60700,A375,0.06826991
4091,36314,A375,0.06820419
36462,104842,A375,0.06823064
60750,6710780,A375,0.06835353
5311497,9887053,A375,0.06806813
2907,60750,A375,0.06800624
31703,5311497,A375,0.06873679
3385,60750,A375,0.06835998
3385,5743,A375,0.068405
104842,126941,A375,0.068280086
4091,5311497,A375,0.068295896
104842,5311497,A375,0.0684932
31703,426756,A375,0.06843633
4091,60750,A375,0.06803104
4091,5743,A375,0.06807612
2907,9887053,A375,0.06779108
5743,60700,A375,0.06847841
6710780,9887053,A375,0.06812248
36314,9887053,A375,0.06823422
60750,126941,A375,0.06828308
5746,9887053,A375,0.068156995
126941,6710780,A375,0.06821269
36314,6710780,A375,0.06857154
4091,9887053,A375,0.06781586
60700,426756,A375,0.06808704
36314,60750,A375,0.06844939
31703,104842,A375,0.068429545
5746,60750,A375,0.06837219
2907,426756,A375,0.06797056
5746,5311497,A375,0.068637006
2907,126941,A375,0.068058
36314,126941,A375,0.0685011
5743,104842,A375,0.06843917
5746,36314,A375,0.06854535
5746,60700,A375,0.06836896
36314,104842,A375,0.06840691
4091,126941,A375,0.068082795
2907,31703,A375,0.06805451
2907,3385,A375,0.06765881
31703,126941,A375,0.068523765
36314,60700,A375,0.06844613
3385,9887053,A375,0.06814478
3385,36462,A375,0.068409115
4091,31703,A375,0.06807932
4091,36462,A375,0.068080254
2907,5743,A375,0.06805132
426756,9887053,A375,0.06820143
2907,104842,A375,0.06796376
5743,5746,A375,0.06848186
5743,60750,A375,0.068481684
4091,6710780,A375,0.06815326
36462,126941,A375,0.06832485
3385,31703,A375,0.068408206
3385,104842,A427,0.06813483
60750,104842,A427,0.06800625
31703,6710780,A427,0.06841154
36314,5311497,A427,0.06853156
3385,4091,A427,0.067790926
5746,6710780,A427,0.06831172
126941,9887053,A427,0.06769276
31703,36314,A427,0.06846255
3385,126941,A427,0.068229035
5743,9887053,A427,0.06808381
31703,60700,A427,0.06828612
4091,5746,A427,0.06784861
5746,36462,A427,0.068238735
4091,426756,A427,0.06781271
104842,6710780,A427,0.06816791
5746,104842,A427,0.06814708
104842,426756,A427,0.06801005
3385,426756,A427,0.06814164
3385,5746,A427,0.06817751
126941,5311497,A427,0.06817273
60750,426756,A427,0.06801303
31703,60750,A427,0.068289384
5743,5311497,A427,0.06856383
126941,426756,A427,0.067872226
60750,5311497,A427,0.068313554
3385,6710780,A427,0.06829949
426756,6710780,A427,0.06835613
36462,426756,A427,0.06805478
5746,426756,A427,0.06815385
5743,126941,A427,0.06835072
60700,9887053,A427,0.06772491
36462,5311497,A427,0.06835529
31703,9887053,A427,0.06807418
2907,60700,A427,0.06782037
2907,36462,A427,0.06787277
104842,9887053,A427,0.06783055
60700,6710780,A427,0.068062276
4091,104842,A427,0.067805916
5743,426756,A427,0.06826331
5743,36462,A427,0.068348184
2907,5311497,A427,0.0680884
2907,6710780,A427,0.067945786
426756,5311497,A427,0.068498775
60700,5311497,A427,0.06820492
36462,9887053,A427,0.06787531
5743,6710780,A427,0.068421185
5743,36314,A427,0.06847216
5746,31703,A427,0.0682378
5743,31703,A427,0.068347275
2907,4091,A427,0.06743722
60700,126941,A427,0.06799179
60700,104842,A427,0.0678976
2907,5746,A427,0.06782378
36462,60750,A427,0.06809051
36314,36462,A427,0.06831595
31703,36462,A427,0.06833854
3385,60700,A427,0.068174064
36462,6710780,A427,0.06821263
2907,36314,A427,0.06799675
60750,9887053,A427,0.06783351
5311497,6710780,A427,0.06822285
3385,36314,A427,0.06835045
5746,126941,A427,0.06824125
36314,426756,A427,0.06823106
60700,60750,A427,0.0679401
4091,60700,A427,0.067845166
3385,5311497,A427,0.06844213
36462,60700,A427,0.068087265
4091,36314,A427,0.068021536
36462,104842,A427,0.06804797
60750,6710780,A427,0.06817089
5311497,9887053,A427,0.06788547
2907,60750,A427,0.0678236
31703,5311497,A427,0.06855418
3385,60750,A427,0.068177305
3385,5743,A427,0.068222366
104842,126941,A427,0.06809746
4091,5311497,A427,0.06811323
104842,5311497,A427,0.06831057
31703,426756,A427,0.06825366
4091,60750,A427,0.06784841
4091,5743,A427,0.067893475
2907,9887053,A427,0.067608416
5743,60700,A427,0.068295784
6710780,9887053,A427,0.06793982
36314,9887053,A427,0.06805156
60750,126941,A427,0.06810048
5746,9887053,A427,0.06797437
126941,6710780,A427,0.068030104
36314,6710780,A427,0.0683889
4091,9887053,A427,0.06763321
60700,426756,A427,0.06790441
36314,60750,A427,0.06826675
31703,104842,A427,0.068246886
5746,60750,A427,0.06818955
2907,426756,A427,0.067787915
5746,5311497,A427,0.068454355
2907,126941,A427,0.0678753
36314,126941,A427,0.06831846
5743,104842,A427,0.06825653
5746,36314,A427,0.068362705
5746,60700,A427,0.06818633
36314,104842,A427,0.06822424
4091,126941,A427,0.06790009
2907,31703,A427,0.06787185
2907,3385,A427,0.06747615
31703,126941,A427,0.06834109
36314,60700,A427,0.06826351
3385,9887053,A427,0.06796213
3385,36462,A427,0.06822649
4091,31703,A427,0.067896664
4091,36462,A427,0.06789759
2907,5743,A427,0.067868665
426756,9887053,A427,0.068018764
2907,104842,A427,0.067781106
5743,5746,A427,0.068299234
5743,60750,A427,0.06829901
4091,6710780,A427,0.067970574
36462,126941,A427,0.068142205
3385,31703,A427,0.06822556
3385,104842,COLO-320-HSR,0.06880223
60750,104842,COLO-320-HSR,0.068673626
31703,6710780,COLO-320-HSR,0.06907891
36314,5311497,COLO-320-HSR,0.069198936
3385,4091,COLO-320-HSR,0.068458274
5746,6710780,COLO-320-HSR,0.06897909
126941,9887053,COLO-320-HSR,0.06836009
31703,36314,COLO-320-HSR,0.069129914
3385,126941,COLO-320-HSR,0.0688964
5743,9887053,COLO-320-HSR,0.06875123
31703,60700,COLO-320-HSR,0.06895351
4091,5746,COLO-320-HSR,0.06851597
5746,36462,COLO-320-HSR,0.0689061
4091,426756,COLO-320-HSR,0.0684801
104842,6710780,COLO-320-HSR,0.06883529
5746,104842,COLO-320-HSR,0.06881441
104842,426756,COLO-320-HSR,0.068677425
3385,426756,COLO-320-HSR,0.068808995
3385,5746,COLO-320-HSR,0.06884486
126941,5311497,COLO-320-HSR,0.0688401
60750,426756,COLO-320-HSR,0.06868039
31703,60750,COLO-320-HSR,0.06895673
5743,5311497,COLO-320-HSR,0.06923121
126941,426756,COLO-320-HSR,0.06853959
60750,5311497,COLO-320-HSR,0.06898093
3385,6710780,COLO-320-HSR,0.068966866
426756,6710780,COLO-320-HSR,0.069023505
36462,426756,COLO-320-HSR,0.06872216
5746,426756,COLO-320-HSR,0.06882124
5743,126941,COLO-320-HSR,0.06901811
60700,9887053,COLO-320-HSR,0.06839225
36462,5311497,COLO-320-HSR,0.06902267
31703,9887053,COLO-320-HSR,0.068741575
2907,60700,COLO-320-HSR,0.06848776
2907,36462,COLO-320-HSR,0.068540156
104842,9887053,COLO-320-HSR,0.068497896
60700,6710780,COLO-320-HSR,0.068729624
4091,104842,COLO-320-HSR,0.068473294
5743,426756,COLO-320-HSR,0.06893068
5743,36462,COLO-320-HSR,0.06901558
2907,5311497,COLO-320-HSR,0.06875575
2907,6710780,COLO-320-HSR,0.06861313
426756,5311497,COLO-320-HSR,0.06916614
60700,5311497,COLO-320-HSR,0.06887227
36462,9887053,COLO-320-HSR,0.068542644
5743,6710780,COLO-320-HSR,0.06908855
5743,36314,COLO-320-HSR,0.06913954
5746,31703,COLO-320-HSR,0.068905175
5743,31703,COLO-320-HSR,0.06901468
2907,4091,COLO-320-HSR,0.06810458
60700,126941,COLO-320-HSR,0.06865916
60700,104842,COLO-320-HSR,0.06856495
2907,5746,COLO-320-HSR,0.06849119
36462,60750,COLO-320-HSR,0.06875786
36314,36462,COLO-320-HSR,0.068983294
31703,36462,COLO-320-HSR,0.06900591
3385,60700,COLO-320-HSR,0.06884143
36462,6710780,COLO-320-HSR,0.06887999
2907,36314,COLO-320-HSR,0.06866413
60750,9887053,COLO-320-HSR,0.06850088
5311497,6710780,COLO-320-HSR,0.068890184
3385,36314,COLO-320-HSR,0.06901784
5746,126941,COLO-320-HSR,0.06890864
36314,426756,COLO-320-HSR,0.068898425
60700,60750,COLO-320-HSR,0.06860749
4091,60700,COLO-320-HSR,0.068512514
3385,5311497,COLO-320-HSR,0.0691095
36462,60700,COLO-320-HSR,0.06875461
4091,36314,COLO-320-HSR,0.068688944
36462,104842,COLO-320-HSR,0.068715364
60750,6710780,COLO-320-HSR,0.068838246
5311497,9887053,COLO-320-HSR,0.06855285
2907,60750,COLO-320-HSR,0.068491
31703,5311497,COLO-320-HSR,0.06922157
3385,60750,COLO-320-HSR,0.06884472
3385,5743,COLO-320-HSR,0.06888972
104842,126941,COLO-320-HSR,0.068764836
4091,5311497,COLO-320-HSR,0.068780586
104842,5311497,COLO-320-HSR,0.06897791
31703,426756,COLO-320-HSR,0.06892103
4091,60750,COLO-320-HSR,0.0685158
4091,5743,COLO-320-HSR,0.068560824
2907,9887053,COLO-320-HSR,0.068275794
5743,60700,COLO-320-HSR,0.06896314
6710780,9887053,COLO-320-HSR,0.06860718
36314,9887053,COLO-320-HSR,0.068718925
60750,126941,COLO-320-HSR,0.068767816
5746,9887053,COLO-320-HSR,0.06864172
126941,6710780,COLO-320-HSR,0.06869743
36314,6710780,COLO-320-HSR,0.06905629
4091,9887053,COLO-320-HSR,0.068300575
60700,426756,COLO-320-HSR,0.06857174
36314,60750,COLO-320-HSR,0.06893413
31703,104842,COLO-320-HSR,0.06891425
5746,60750,COLO-320-HSR,0.068856925
2907,426756,COLO-320-HSR,0.068455264
5746,5311497,COLO-320-HSR,0.06912173
2907,126941,COLO-320-HSR,0.06854269
36314,126941,COLO-320-HSR,0.068985805
5743,104842,COLO-320-HSR,0.06892389
5746,36314,COLO-320-HSR,0.06903007
5746,60700,COLO-320-HSR,0.06885365
36314,104842,COLO-320-HSR,0.06889163
4091,126941,COLO-320-HSR,0.0685675
2907,31703,COLO-320-HSR,0.06853923
2907,3385,COLO-320-HSR,0.06814352
31703,126941,COLO-320-HSR,0.069008455
36314,60700,COLO-320-HSR,0.06893088
3385,9887053,COLO-320-HSR,0.06862948
3385,36462,COLO-320-HSR,0.068893865
4091,31703,COLO-320-HSR,0.06856406
4091,36462,COLO-320-HSR,0.06856498
2907,5743,COLO-320-HSR,0.06853603
426756,9887053,COLO-320-HSR,0.068686135
2907,104842,COLO-320-HSR,0.068448514
5743,5746,COLO-320-HSR,0.06896662
5743,60750,COLO-320-HSR,0.06896638
4091,6710780,COLO-320-HSR,0.06863795
36462,126941,COLO-320-HSR,0.0688096
3385,31703,COLO-320-HSR,0.06889294
3385,104842,EFM-192A,0.06845227
60750,104842,EFM-192A,0.0683237
31703,6710780,EFM-192A,0.06872897
36314,5311497,EFM-192A,0.06884901
3385,4091,EFM-192A,0.06810836
5746,6710780,EFM-192A,0.068629175
126941,9887053,EFM-192A,0.06801017
31703,36314,EFM-192A,0.06877996
3385,126941,EFM-192A,0.068546504
5743,9887053,EFM-192A,0.06840126
31703,60700,EFM-192A,0.068603575
4091,5746,EFM-192A,0.06816606
5746,36462,EFM-192A,0.06855618
4091,426756,EFM-192A,0.068130136
104842,6710780,EFM-192A,0.06848535
5746,104842,EFM-192A,0.06846453
104842,426756,EFM-192A,0.06832749
3385,426756,EFM-192A,0.06845905
3385,5746,EFM-192A,0.06849497
126941,5311497,EFM-192A,0.06849017
60750,426756,EFM-192A,0.06833048
31703,60750,EFM-192A,0.06860684
5743,5311497,EFM-192A,0.06888127
126941,426756,EFM-192A,0.06818966
60750,5311497,EFM-192A,0.06863099
3385,6710780,EFM-192A,0.06861693
426756,6710780,EFM-192A,0.06867359
36462,426756,EFM-192A,0.06837223
5746,426756,EFM-192A,0.0684713
5743,126941,EFM-192A,0.06866817
60700,9887053,EFM-192A,0.06804234
36462,5311497,EFM-192A,0.06867275
31703,9887053,EFM-192A,0.068391606
2907,60700,EFM-192A,0.06813781
2907,36462,EFM-192A,0.06819023
104842,9887053,EFM-192A,0.068148
60700,6710780,EFM-192A,0.06837967
4091,104842,EFM-192A,0.068123385
5743,426756,EFM-192A,0.06858076
5743,36462,EFM-192A,0.068665646
2907,5311497,EFM-192A,0.06840584
2907,6710780,EFM-192A,0.06826323
426756,5311497,EFM-192A,0.068816215
60700,5311497,EFM-192A,0.06852236
36462,9887053,EFM-192A,0.068192735
5743,6710780,EFM-192A,0.068738624
5743,36314,EFM-192A,0.0687896
5746,31703,EFM-192A,0.06855522
5743,31703,EFM-192A,0.0686647
2907,4091,EFM-192A,0.06775464
60700,126941,EFM-192A,0.06830926
60700,104842,EFM-192A,0.06821504
2907,5746,EFM-192A,0.06814125
36462,60750,EFM-192A,0.06840794
36314,36462,EFM-192A,0.06863338
31703,36462,EFM-192A,0.06865598
3385,60700,EFM-192A,0.06849152
36462,6710780,EFM-192A,0.06853007
2907,36314,EFM-192A,0.06831421
60750,9887053,EFM-192A,0.068150975
5311497,6710780,EFM-192A,0.06854026
3385,36314,EFM-192A,0.06866793
5746,126941,EFM-192A,0.068558715
36314,426756,EFM-192A,0.0685485
60700,60750,EFM-192A,0.06825754
4091,60700,EFM-192A,0.06816262
3385,5311497,EFM-192A,0.06875959
36462,60700,EFM-192A,0.068404675
4091,36314,EFM-192A,0.068339
36462,104842,EFM-192A,0.06836541
60750,6710780,EFM-192A,0.06848833
5311497,9887053,EFM-192A,0.06820292
2907,60750,EFM-192A,0.06814104
31703,5311497,EFM-192A,0.06887164
3385,60750,EFM-192A,0.06849477
3385,5743,EFM-192A,0.06853984
104842,126941,EFM-192A,0.0684149
4091,5311497,EFM-192A,0.06843065
104842,5311497,EFM-192A,0.068628006
31703,426756,EFM-192A,0.068571106
4091,60750,EFM-192A,0.06816586
4091,5743,EFM-192A,0.068210915
2907,9887053,EFM-192A,0.06792585
5743,60700,EFM-192A,0.06861321
6710780,9887053,EFM-192A,0.06825724
36314,9887053,EFM-192A,0.068369
60750,126941,EFM-192A,0.068417914
5746,9887053,EFM-192A,0.0682918
126941,6710780,EFM-192A,0.06834751
36314,6710780,EFM-192A,0.06870635
4091,9887053,EFM-192A,0.06795065
60700,426756,EFM-192A,0.06822184
36314,60750,EFM-192A,0.06858419
31703,104842,EFM-192A,0.06856429
5746,60750,EFM-192A,0.068506986
2907,426756,EFM-192A,0.06810537
5746,5311497,EFM-192A,0.06877182
2907,126941,EFM-192A,0.06819276
36314,126941,EFM-192A,0.0686359
5743,104842,EFM-192A,0.068573974
5746,36314,EFM-192A,0.06868015
5746,60700,EFM-192A,0.06850372
36314,104842,EFM-192A,0.068541676
4091,126941,EFM-192A,0.068217576
2907,31703,EFM-192A,0.06818929
2907,3385,EFM-192A,0.06779358
31703,126941,EFM-192A,0.068658546
36314,60700,EFM-192A,0.06858094
3385,9887053,EFM-192A,0.068279594
3385,36462,EFM-192A,0.06854394
4091,31703,EFM-192A,0.06821411
4091,36462,EFM-192A,0.06821504
2907,5743,EFM-192A,0.068186104
426756,9887053,EFM-192A,0.0683362
2907,104842,EFM-192A,0.06809857
5743,5746,EFM-192A,0.06861666
5743,60750,EFM-192A,0.06861645
4091,6710780,EFM-192A,0.068288036
36462,126941,EFM-192A,0.06845962
3385,31703,EFM-192A,0.06854305
3385,104842,ES-2,0.06853697
60750,104842,ES-2,0.068408355
31703,6710780,ES-2,0.068813704
36314,5311497,ES-2,0.068933696
3385,4091,ES-2,0.068193056
5746,6710780,ES-2,0.068713844
126941,9887053,ES-2,0.06809485
31703,36314,ES-2,0.06886464
3385,126941,ES-2,0.06863119
5743,9887053,ES-2,0.068485975
31703,60700,ES-2,0.06868827
4091,5746,ES-2,0.068250775
5746,36462,ES-2,0.06864085
4091,426756,ES-2,0.06821486
104842,6710780,ES-2,0.06857003
5746,104842,ES-2,0.06854917
104842,426756,ES-2,0.0684122
3385,426756,ES-2,0.06854378
3385,5746,ES-2,0.06857964
126941,5311497,ES-2,0.068574846
60750,426756,ES-2,0.06841518
31703,60750,ES-2,0.06869152
5743,5311497,ES-2,0.06896594
126941,426756,ES-2,0.06827435
60750,5311497,ES-2,0.06871571
3385,6710780,ES-2,0.06870162
426756,6710780,ES-2,0.06875829
36462,426756,ES-2,0.06845692
5746,426756,ES-2,0.068556
5743,126941,ES-2,0.06875287
60700,9887053,ES-2,0.06812705
36462,5311497,ES-2,0.06875745
31703,9887053,ES-2,0.068476334
2907,60700,ES-2,0.06822248
2907,36462,ES-2,0.06827493
104842,9887053,ES-2,0.06823269
60700,6710780,ES-2,0.06846437
4091,104842,ES-2,0.06820805
5743,426756,ES-2,0.06866546
5743,36462,ES-2,0.06875032
2907,5311497,ES-2,0.068490535
2907,6710780,ES-2,0.068347916
426756,5311497,ES-2,0.06890091
60700,5311497,ES-2,0.06860702
36462,9887053,ES-2,0.06827743
5743,6710780,ES-2,0.06882332
5743,36314,ES-2,0.06887433
5746,31703,ES-2,0.06863996
5743,31703,ES-2,0.06874943
2907,4091,ES-2,0.067839354
60700,126941,ES-2,0.06839393
60700,104842,ES-2,0.068299726
2907,5746,ES-2,0.068225935
36462,60750,ES-2,0.068492666
36314,36462,ES-2,0.068718076
31703,36462,ES-2,0.06874067
3385,60700,ES-2,0.068576194
36462,6710780,ES-2,0.068614766
2907,36314,ES-2,0.06839888
60750,9887053,ES-2,0.06823569
5311497,6710780,ES-2,0.06862499
3385,36314,ES-2,0.0687526
5746,126941,ES-2,0.06864339
36314,426756,ES-2,0.068633184
60700,60750,ES-2,0.06834224
4091,60700,ES-2,0.06824732
3385,5311497,ES-2,0.068844244
36462,60700,ES-2,0.06848937
4091,36314,ES-2,0.068423666
36462,104842,ES-2,0.06845012
60750,6710780,ES-2,0.06857304
5311497,9887053,ES-2,0.068287656
2907,60750,ES-2,0.068225734
31703,5311497,ES-2,0.06895632
3385,60750,ES-2,0.06857944
3385,5743,ES-2,0.0686245
